,Packet,Voltage Mag,Voltage Angle,Current Mag,Current Angle,Actual Frequency,ROCOF
1000,1000,47028.953125,-188567.78125,-5224.404296875,-1978.7791748046875,59.93363952636719,5.739258766174316
1001,1001,,,,,,
1002,1002,51948.07421875,-184433.6875,-6270.80419921875,-2860.337890625,60.19774627685547,-46.83657455444336
1003,1003,48085.01171875,-191045.390625,-5449.11376953125,-1451.4908447265625,60.081077575683594,-6.460151195526123
1004,1004,,,,,,
1005,1005,,,,,,
1006,1006,,,,,,
1007,1007,48658.69921875,-189234.140625,-5571.19921875,-1836.6295166015625,60.031822204589844,1.9685794115066528
1008,1008,48919.37109375,-190419.96875,-5626.6318359375,-1584.5906982421875,59.940311431884766,6.685035705566406
1009,1009,,,,,,
1010,1010,46738.3203125,-188028.890625,-5162.5830078125,-2093.314697265625,59.94474792480469,7.693150043487549
1011,1011,52633.92578125,-185497.21875,-6416.9384765625,-2632.220458984375,60.060455322265625,-55.48340606689453
1012,1012,,,,,,
1013,1013,48319.4921875,-190894.59375,-5499.01318359375,-1483.4769287109375,60.061771392822266,-8.997017860412598
1014,1014,48435.5,-189404.125,-5523.70654296875,-1800.4893798828125,60.01544952392578,1.1933314800262451
1015,1015,,,,,,
1016,1016,49357.953125,-190048.921875,-5719.94775390625,-1663.54248046875,59.942081451416016,-6.728694438934326
1017,1017,46059.078125,-186822.5625,-5018.0888671875,-2349.7568359375,60.00055694580078,12.397038459777832
1018,1018,,,,,,
1019,1019,52656.02734375,-188364.3125,-6421.54541015625,-2023.0352783203125,59.760623931884766,-46.21746826171875
1020,1020,48570.20703125,-190615.25,-5552.37353515625,-1542.76318359375,60.01805114746094,-4.0508222579956055
1021,1021,,,,,,
1022,1022,48454.94921875,-189536.328125,-5527.83740234375,-1772.430419921875,60.00541305541992,1.2100774049758911
1023,1023,49474.08984375,-189827.796875,-5744.67333984375,-1710.4676513671875,59.953468322753906,-9.309652328491211
1024,1024,,,,,,
1025,1025,46073.171875,-185833.28125,-5021.08447265625,-2560.26806640625,60.06529235839844,17.31692886352539
1026,1026,51932.08984375,-190528.375,-6267.13037109375,-1565.97705078125,59.60914993286133,-35.34223937988281
1027,1027,,,,,,
1028,1028,48588.1015625,-190469.203125,-5556.17431640625,-1573.88623046875,60.02149963378906,0.488719642162323
1029,1029,48465.56640625,-189691.765625,-5530.08984375,-1739.432861328125,59.9990119934082,1.0717253684997559
1030,1030,,,,,,
1031,1031,49405.05859375,-189435.90625,-5730.0,-1793.728271484375,59.967037200927734,-18.056188583374023
1032,1032,46263.92578125,-184256.21875,-5061.46875,-2897.580810546875,60.24481964111328,21.883056640625
1033,1033,,,,,,
1034,1034,48500.8203125,-192825.046875,-5537.4521484375,-1073.987548828125,59.85844802856445,49.04532241821289
1035,1035,48787.78515625,-190239.421875,-5598.6533203125,-1622.838134765625,60.00590896606445,-3.026721477508545
1036,1036,,,,,,
1037,1037,48548.8046875,-189819.671875,-5547.80908203125,-1712.1456298828125,59.99504852294922,0.22035807371139526
1038,1038,48694.99609375,-188856.296875,-5578.92822265625,-1916.995849609375,59.97878646850586,-8.744583129882812
1039,1039,,,,,,
1040,1040,47810.5078125,-183597.109375,-5390.24853515625,-3040.27685546875,60.35587692260742,17.65924072265625
1041,1041,48021.09375,-192359.828125,-5435.533203125,-1171.6402587890625,59.99587631225586,23.919822692871094
1042,1042,,,,,,
1043,1043,,,,,,
1044,1044,,,,,,
1045,1045,48790.28515625,-190247.015625,-5599.1787109375,-1621.2952880859375,60.0011100769043,0.3512117564678192
1046,1046,48569.609375,-189911.09375,-5552.2451171875,-1692.620361328125,59.99238204956055,0.3170715570449829
1047,1047,,,,,,
1048,1048,48011.5546875,-188274.984375,-5433.5166015625,-2040.6588134765625,59.983421325683594,0.23996609449386597
1049,1049,49197.72265625,-183596.890625,-5685.34765625,-3040.7783203125,60.36159133911133,7.523680686950684
1050,1050,,,,,,
1051,1051,47864.66015625,-191818.3125,-5402.2373046875,-1286.9578857421875,60.05739212036133,18.36679458618164
1052,1052,48796.74609375,-190208.609375,-5600.56298828125,-1629.3948974609375,60.004730224609375,0.42241090536117554
1053,1053,,,,,,
1054,1054,48652.79296875,-190011.46875,-5569.94921875,-1671.2127685546875,59.991024017333984,0.2650132477283478
1055,1055,47418.875,-187267.484375,-5307.4150390625,-2255.009765625,60.00851821899414,10.45901870727539
1056,1056,,,,,,
1057,1057,51168.203125,-184361.78125,-6104.73974609375,-2876.7900390625,60.28676223754883,-14.396496772766113
1058,1058,47798.58984375,-191387.765625,-5388.14111328125,-1378.920654296875,60.10310745239258,8.459771156311035
1059,1059,,,,,,
1060,1060,48786.109375,-190199.171875,-5598.30908203125,-1631.32373046875,60.00421905517578,0.6372858285903931
1061,1061,48727.31640625,-190064.125,-5585.80810546875,-1659.97998046875,59.993865966796875,-0.3046998977661133
1062,1062,,,,,,
1063,1063,47223.0859375,-187214.484375,-5265.7529296875,-2266.311767578125,60.00291061401367,8.45158863067627
1064,1064,51480.7421875,-184581.6875,-6171.38330078125,-2828.720947265625,60.24321746826172,7.492598533630371
1065,1065,,,,,,
